Disease,Description
Fungal infection,A fungal infection is a disease caused by a fungus. Fungal infections of the skin are very common and include athlete's foot, jock itch, ringworm, and yeast infections.
Allergy,An allergy is a reaction by your immune system to something that does not bother most other people. People who have allergies often are sensitive to more than one thing.
GERD,"Gastroesophageal reflux disease (GERD) occurs when stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus."
Chronic cholestasis,Chronic cholestasis is a condition where bile production or flow is impaired for longer than 6 months. It results in accumulation of bile in the liver.
Drug Reaction,A drug reaction is any unexpected or undesirable effect of a drug that occurs at doses normally used for prevention or treatment.
Peptic ulcer diseae,"A peptic ulcer is an open sore that develops on the inside lining of your stomach and the upper portion of your small intestine. Stomach pain is the most common symptom."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a chronic, potentially life-threatening condition caused by HIV. HIV damages your immune system, interfering with your body's ability to fight infection and disease."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically resulting from a bacterial toxin or viral infection."
Bronchial Asthma,"Asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, a whistling sound when you breathe out and shortness of breath."
Hypertension,"Hypertension is a common condition in which the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease."
Migraine,"A migraine is a headache that can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop."
Paralysis (brain hemorrhage),"Paralysis is loss of the ability to move some or all of your body. A brain hemorrhage is bleeding in or around the brain. It is a form of stroke."
Jaundice,"Jaundice is a condition in which the skin, whites of the eyes and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment."
Malaria,"Malaria is a disease caused by a plasmodium parasite, transmitted by the bite of infected mosquitoes. The severity of malaria varies based on the species of plasmodium."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus. It can cause an itchy, blister-like rash. The rash appears first on the chest, back, and face, then spreads over the entire body."
Dengue,Dengue fever is a mosquito-borne tropical disease caused by the dengue virus. Symptoms typically begin three to fourteen days after infection.
Typhoid,"Typhoid fever is a bacterial infection due to a specific type of Salmonella that causes symptoms. Symptoms may include high fever, weakness, stomach pains, headache, diarrhea or constipation, cough, and loss of appetite."
hepatitis A,"Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. It ranges in severity from a mild illness lasting a few weeks to a severe illness lasting several months."
Hepatitis B,"Hepatitis B is a serious liver infection caused by the hepatitis B virus. For some people, hepatitis B infection becomes chronic, meaning it lasts more than six months."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage. The hepatitis C virus spreads through contaminated blood."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function."
Hepatitis E,"Hepatitis E is a liver disease caused by the hepatitis E virus (HEV). The virus is spread mainly through contaminated water."
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol. The condition is usually diagnosed in people who drink heavily for many years.
Tuberculosis,"Tuberculosis (TB) is a potentially serious infectious disease that mainly affects the lungs. The bacteria that cause tuberculosis are spread from person to person through tiny droplets released into the air via coughs and sneezes."
Common Cold,"The common cold is a viral infection of your nose and throat. It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs. The air sacs may fill with fluid or pus, causing cough with phlegm or pus, fever, chills, and difficulty breathing."
Dimorphic hemmorhoids(piles),Piles (haemorrhoids) are swollen veins inside and around the anus and lower rectum. They're similar to varicose veins.
Heart attack,"A heart attack occurs when the flow of blood to the heart is severely reduced or blocked. The blockage is usually due to a buildup of fat, cholesterol and other substances in the heart arteries."
Varicose veins,"Varicose veins are gnarled, enlarged veins, most commonly appearing in the legs and feet. For many people, varicose veins and spider veins are simply a cosmetic concern."
Hypothyroidism,"Hypothyroidism is a condition in which the thyroid gland doesn't produce enough thyroid hormone. Untreated, it can cause a number of health problems, such as obesity, joint pain, infertility and heart disease."
Hyperthyroidism,Hyperthyroidism occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism causing unintentional weight loss and rapid heartbeat.
Hypoglycemia,"Low blood sugar (hypoglycemia) occurs when blood sugar drops below normal levels. This is most common in people with diabetes who have issues with medicine, food, or exercise."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
Arthritis,"Arthritis is inflammation of one or more of your joints. Pain, swelling and stiffness are the primary symptoms. There are many different types of arthritis, each with different causes."
(vertigo) Paroymsal  Positional Vertigo,"Vertigo is a sensation of feeling off balance. If you have these dizzy spells, you might feel like you are spinning or that the world around you is spinning."
Acne,"Acne is a skin condition that occurs when your hair follicles become plugged with oil and dead skin cells. It often causes whiteheads, blackheads or pimples, usually on the face, forehead, chest, upper back and shoulders."
Urinary tract infection,"A urinary tract infection (UTI) is an infection in any part of your urinary system. Most infections involve the lower urinary tract — the bladder and the urethra."
Psoriasis,"Psoriasis is a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk and scalp. Psoriasis is a common, long-term (chronic) disease with no cure."
Impetigo,"Impetigo is a common and highly contagious skin infection that mainly affects infants and young children. It usually appears as reddish sores on the face, especially around a child's nose and mouth, and on hands and feet."
